ConclDir;ConclQ;breaktype;code;correctness;datetime;givenanswer;givenanswertext;nouns;ordering;ordertext;p1;p2;sequence;syllog;time;validConclusions;vpid;cid;gender;edu;age;N;ACC;time_all;time_ACC;model;ACCinKJL;sdTimeACC;subj
NVC;NVC;default;DZXULD;1;2016-07-05T05:03:23-04:00;-1;Space: No conclusion is possible;boxers,dancers,typists;6;Oq,Iq,Eq,Aq;Premise 1: Some dancers are boxers;Premise 2: Some dancers are typists;44;II4;2645;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,61;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:03:32-04:00;-1;Space: No conclusion is possible;drivers,writers,hikers;6;Oq,Iq,Eq,Aq;Premise 1: All drivers are writers;Premise 2: Some hikers are writers;45;AI3;7863;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,37;7994,466432;1
AC;O;default;DZXULD;0;2016-07-05T05:03:41-04:00;1;1: Some divers are not linguists;divers,carpenters,linguists;6;Oq,Iq,Eq,Aq;Premise 1: All divers are carpenters;Premise 2: Some carpenters are not linguists;46;AO1;7363;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,14;7994,466432;1
AC;O;default;DZXULD;1;2016-07-05T05:03:50-04:00;1;1: Some cleaners are not auditors;cleaners,painters,auditors;6;Oq,Iq,Eq,Aq;Premise 1: All painters are cleaners;Premise 2: Some painters are not auditors;47;AO4;7201;Oac;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;2;0,54;7994,466432;1
CA;E;default;DZXULD;1;2016-07-05T05:04:08-04:00;9;9: No soldiers are editors;editors,florists,soldiers;6;Oq,Iq,Eq,Aq;Premise 1: No florists are editors;Premise 2: All soldiers are florists;48;EA2;16219;Eac,Eca,Oac,Oca;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;1;0,78;7994,466432;1
NVC;NVC;default;DZXULD;0;2016-07-05T05:04:35-04:00;-1;Space: No conclusion is possible;swimmers,mayors,cooks;6;Oq,Iq,Eq,Aq;Premise 1: Some swimmers are mayors;Premise 2: No mayors are cooks;49;IE1;7111;Oac;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,44;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:04:48-04:00;-1;Space: No conclusion is possible;architects,designers,trainers;6;Oq,Iq,Eq,Aq;Premise 1: Some architects are designers;Premise 2: Some designers are not trainers;50;IO1;10419;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,36;7994,466432;1
CA;E;default;DZXULD;0;2016-07-05T05:04:58-04:00;9;9: No packers are butchers;butchers,tutors,packers;6;Oq,Iq,Eq,Aq;Premise 1: All tutors are butchers;Premise 2: No packers are tutors;51;AE2;9107;Oac;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,01;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:05:05-04:00;-1;Space: No conclusion is possible;singers,tailors,pilots;6;Oq,Iq,Eq,Aq;Premise 1: Some singers are not tailors;Premise 2: Some pilots are tailors;52;OI3;4783;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,49;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:05:09-04:00;-1;Space: No conclusion is possible;opticians,actuaries,boxers;6;Oq,Iq,Eq,Aq;Premise 1: Some opticians are actuaries;Premise 2: Some boxers are actuaries;53;II3;2751;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,51;7994,466432;1
CA;O;default;DZXULD;0;2016-07-05T05:05:35-04:00;7;7: Some potters are not chemists;chemists,sailors,potters;6;Oq,Iq,Eq,Aq;Premise 1: Some sailors are chemists;Premise 2: No potters are sailors;54;IE2;23980;Oac;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,13;7994,466432;1
AC;O;default;DZXULD;0;2016-07-05T05:05:42-04:00;1;1: Some investors are not jugglers;investors,barbers,jugglers;6;Oq,Iq,Eq,Aq;Premise 1: Some investors are not barbers;Premise 2: All barbers are jugglers;55;OA1;5684;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,2;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:05:52-04:00;-1;Space: No conclusion is possible;brewers,judges,porters;6;Oq,Iq,Eq,Aq;Premise 1: Some judges are not brewers;Premise 2: Some porters are judges;56;OI2;8238;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,31;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:06:00-04:00;-1;Space: No conclusion is possible;athletes,hunters,lawyers;6;Oq,Iq,Eq,Aq;Premise 1: Some hunters are athletes;Premise 2: Some hunters are not lawyers;57;IO4;5566;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,47;7994,466432;1
CA;E;default;DZXULD;0;2016-07-05T05:06:15-04:00;9;9: No students are cyclists;cyclists,buyers,students;6;Oq,Iq,Eq,Aq;Premise 1: No buyers are cyclists;Premise 2: All buyers are students;58;EA4;13173;Oca;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,09;7994,466432;1
NVC;NVC;default;DZXULD;0;2016-07-05T05:06:21-04:00;-1;Space: No conclusion is possible;miners,poets,skaters;6;Oq,Iq,Eq,Aq;Premise 1: No poets are miners;Premise 2: Some poets are skaters;59;EI4;4766;Oca;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,15;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:06:28-04:00;-1;Space: No conclusion is possible;campers,engineers,fencers;6;Oq,Iq,Eq,Aq;Premise 1: Some campers are not engineers;Premise 2: Some engineers are fencers;60;OI1;5247;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,36;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:06:32-04:00;-1;Space: No conclusion is possible;bankers,teachers,golfers;6;Oq,Iq,Eq,Aq;Premise 1: No bankers are teachers;Premise 2: No golfers are teachers;61;EE3;2562;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,76;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:06:44-04:00;-1;Space: No conclusion is possible;joggers,counselors,riders;6;Oq,Iq,Eq,Aq;Premise 1: No counselors are joggers;Premise 2: Some riders are not counselors;62;EO2;10180;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,47;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:06:52-04:00;-1;Space: No conclusion is possible;lifeguards,dentists,plumbers;6;Oq,Iq,Eq,Aq;Premise 1: Some lifeguards are not dentists;Premise 2: No plumbers are dentists;63;OE3;5418;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,47;7994,466432;1
AC;A;images;OGXXXB;0;2016-07-05T03:51:19-05:00;1;1: All poets are skaters;poets,skaters,miners;0;Aq,Iq,Oq,Eq;Premise 1: All poets are skaters;NA;0;A_1;9387;NVC;56;OGXXXB;female;Highschool;28;64;0,328125;9241,4375;9098,571429;#N/A;#N/A;4831,217285;2
AC;E;images;OGXXXB;0;2016-07-05T03:51:25-05:00;4;4: No drivers are hikers;drivers,hikers,writers;0;Aq,Iq,Oq,Eq;Premise 1: No drivers are hikers;NA;1;E_1;4960;NVC;56;OGXXXB;female;Highschool;28;64;0,328125;9241,4375;9098,571429;#N/A;#N/A;4831,217285;2
AC;I;images;OGXXXB;0;2016-07-05T03:51:34-05:00;2;2: Some dancers are typists;dancers,typists,boxers;0;Aq,Iq,Oq,Eq;Premise 1: Some dancers are typists;NA;2;I_1;7085;NVC;56;OGXXXB;female;Highschool;28;64;0,328125;9241,4375;9098,571429;#N/A;#N/A;4831,217285;2
AC;O;images;OGXXXB;0;2016-07-05T03:51:42-05:00;3;3: Some linguists are not divers;linguists,divers,carpenters;0;Aq,Iq,Oq,Eq;Premise 1: Some linguists are not divers;NA;3;O_1;6311;NVC;56;OGXXXB;female;Highschool;28;64;0,328125;9241,4375;9098,571429;#N/A;#N/A;4831,217285;2
AC;I;images;OGXXXB;1;2016-07-05T03:52:23-05:00;2;2: Some mayors are swimmers;mayors,cooks,swimmers;0;Aq,Iq,Oq,Eq;Premise 1: Some cooks are mayors;Premise 2: All cooks are swimmers;0;IA4;15814;Iac,Ica;56;OGXXXB;female;Highschool;28;64;0,328125;9241,4375;9098,571429;1;0,81;4831,217285;2
AC;E;images;OGXXXB;1;2016-07-05T03:52:36-05:00;4;4: No painters are cleaners;painters,auditors,cleaners;0;Aq,Iq,Oq,Eq;Premise 1: No painters are auditors;Premise 2: All cleaners are auditors;1;EA3;10194;Eac,Eca,Oac,Oca;56;OGXXXB;female;Highschool;28;64;0,328125;9241,4375;9098,571429;1;0,8;4831,217285;2
AC;A;images;OGXXXB;1;2016-07-05T03:52:43-05:00;1;1: All scientists are chefs;scientists,runners,chefs;0;Aq,Iq,Oq,Eq;Premise 1: All scientists are runners;Premise 2: All runners are chefs;2;AA1;5051;Aac,Iac,Ica;56;OGXXXB;female;Highschool;28;64;0,328125;9241,4375;9098,571429;1;0,88;4831,217285;2
CA;I;images;OGXXXB;1;2016-07-05T03:52:56-05:00;8;8: Some therapists are climbers;climbers,skaters,therapists;0;Aq,Iq,Oq,Eq;Premise 1: All skaters are climbers;Premise 2: Some therapists are skaters;3;AI2;11556;Iac,Ica;56;OGXXXB;female;Highschool;28;64;0,328125;9241,4375;9098,571429;1;0,9;4831,217285;2
AC;A;images;OGXXXB;0;2016-07-05T03:53:10-05:00;1;1: All hunters are lawyers;hunters,athletes,lawyers;0;Aq,Iq,Oq,Eq;Premise 1: All hunters are athletes;Premise 2: All lawyers are athletes;4;AA3;12351;NVC;56;OGXXXB;female;Highschool;28;64;0,328125;9241,4375;9098,571429;NVC;0,31;4831,217285;2
AC;I;images;OGXXXB;0;2016-07-05T03:53:30-05:00;2;2: Some judges are porters;judges,brewers,porters;0;Aq,Iq,Oq,Eq;Premise 1: Some judges are brewers;Premise 2: Some brewers are not porters;5;IO1;18131;NVC;56;OGXXXB;female;Highschool;28;64;0,328125;9241,4375;9098,571429;NVC;0,36;4831,217285;2
AC;A;images;OGXXXB;0;2016-07-05T03:53:37-05:00;1;1: All pilots are singers;pilots,tailors,singers;0;Aq,Iq,Oq,Eq;Premise 1: All pilots are tailors;Premise 2: Some tailors are singers;6;AI1;5230;NVC;56;OGXXXB;female;Highschool;28;64;0,328125;9241,4375;9098,571429;NVC;0,16;4831,217285;2
